faction_id|name|id|type|cp_cost|legend|turn|phase|detachment|detachment_id|description|Unnamed: 11
TS|DESTINED BY FATE|10194003|Grand Coven  Epic Deed Stratagem|1.0|The Architect of Fate has great designs for his pawns, which do not yet include their untimely demise.|Either players turn|Any phase|Grand Coven|1061.0|WHEN: Any phase, just after a saving throw is failed for a Thousand Sons Psyker model from your army. If you are using fast dice rolling, this Stratagem can still be used after rolling multiple saving throws at once.TARGET: That PSYKER model.EFFECT: Change the Damage characteristic of that attack to 0. If you are using fast dice rolling, select one of those attacks you failed a saving throw for.|
TS|EGOTISTICAL POWER|10194004|Grand Coven  Strategic Ploy Stratagem|1.0|Drawing on the accumulating empyric energies, one devoted to Tzeentch will willingly syphon the swelling power to fuel their selfish ploys.|Your turn|Command phase|Grand Coven|1061.0|WHEN: Your Command phase.TARGET: One Thousand Sons Psyker unit from your army.EFFECT: Select the Imbued Manifestation, Psychic Maelstrom or Wrath of the Immaterium ability. Until the start of your next Command phase, that ability applies to your unit instead of any other Kindred Sorcery ability, even if you have already selected that ability this battle.|
TS|KALEIDOSCOPIC TEMPEST|9742007|Hexwarp Thrallband  Battle Tactic Stratagem|1.0|As the Thousand Sons solidify their control over sites of magical power, the Immaterium spills into reality in searing torrents, blossoming into a multi-spectral storm of arcane energy that obscures mortal senses and mechanical augury.|Opponents turn|Shooting phase|Hexwarp Thrallband|983.0|WHEN: Your opponents Shooting phase, just after an enemy unit has selected its targets.TARGET: One Thousand Sons Psyker unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, your unit has the Stealth ability, and, if your unit is wholly within your armys Flow of Magic, each time an attack targets your unit, it has the Benefit of Cover against that attack.|
TS|WARDING HEX|9742002|Hexwarp Thrallband  Epic Deed Stratagem|1.0|Thousand Sons Sorcerers draw upon tide swells of Warp energy to weave spells of binding and warding, thereby shackling sites of arcane power to their own arrogant will.|Either players turn|Command phase|Hexwarp Thrallband|983.0|WHEN: Command phase.TARGET: One Thousand Sons Psyker unit from your army within range of an objective marker you control, if that objective marker is wholly within your armys Flow of Magic.EFFECT: That objective marker remains under your control until your opponents Level of Control over that objective marker is greater than yours at the end of a phase.|
TS|THROUGH THE VEIL|9742005|Hexwarp Thrallband  Epic Deed Stratagem|1.0|With arcane energy flooding the battlefield, the veil between Warp and reality rapidly collapses. From yawning rifts emerge Rubricae reinforcements to ensure their thrallbands victory.|Your turn|Movement phase|Hexwarp Thrallband|983.0|"WHEN: Start of the Reinforcements step of your Movement phase.TARGET: One Rubric Marines or Scarab Occult Terminators unit from your army that is in Strategic Reserves.EFFECT: If it is a RUBRIC MARINES unit, until the end of the phase, it has the Deep Strike ability. When your unit is set up on the battlefield using the Deep Strike ability, if it is a SCARAB OCCULT TERMINATOR unit it can be set up anywhere on the battlefield that is wholly within your armys Flow of Magic and more than 6"" horizontally away from all enemy models.RESTRICTIONS: If a SCARAB OCCULT TERMINATORS unit is targeted with this Stratagem, it is not eligible to declare a charge in the same turn."|
TS|WRATH OF THE DOOMED|9742003|Hexwarp Thrallband  Strategic Ploy Stratagem|1.0|Forewarned of the moment of their demise, the followers of Tzeentch allow the flood of magic to run rampant through their forms, providing them with a final burst of killing energy before unbound arcane force rips their bodies asunder|Either players turn|Fight phase|Hexwarp Thrallband|983.0|WHEN: Fight phase, just after an enemy unit has selected its targets.TARGET: One THOUSAND SONS unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, each time a model in your unit is destroyed, if that model has not fought this phase, roll one D6, adding 1 to the result if your unit is wholly within your armys Flow of Magic: on a 4+, do not remove it from play. That destroyed model can fight after the attacking unit has finished making its attacks, and is then removed from play.|
TS|STRANDS OF TIME|9742004|Hexwarp Thrallband  Strategic Ploy Stratagem|1.0|By drawing upon their expanding nexus of magic, this disciple of Tzeentch can tear strands of temporal energy from the Warp and wind them around themselves and their thralls. Lent speed by this garland of stolen time, they melt away from their foes desperate strikes before lashing out again.|Your turn|Movement phase|Hexwarp Thrallband|983.0|WHEN: Your Movement phase, just after a THOUSAND SONS PSYKER unit from your army Falls Back.TARGET: That Thousand Sons Psyker unit.EFFECT: Until the end of the turn, your unit is eligible to shoot or declare a charge in a turn in which it Fell Back. If your unit is wholly within your armys Flow of Magic when it is targeted with this Stratagem, then until the end of the turn, your unit is eligible to shoot and declare a charge in a turn in which it Fell Back.|
TS|SCOURING WARPFLAME|9742006|Hexwarp Thrallband  Strategic Ploy Stratagem|1.0|At a spat curse, Warpinfused ammunition can be made to glow with sulphurous flame, enabling it to burn through solid cover to strike enemies beyond. Those hit by the fusillade find their forms wreathed in illuminating azure fire.|Your turn|Shooting phase|Hexwarp Thrallband|983.0|WHEN: Your Shooting phase.TARGET: One Thousand Sons Psyker unit from your army that has not been selected to shoot this phase and is wholly within your armys Flow of Magic.EFFECT: Until the end of the phase, ranged weapons equipped by models in your unit have the [IGNORES COVER] ability. After your unit has shot this phase, select one enemy unit hit by one or more of those attacks. Until the end of the phase, models in that unit cannot have the Benefit of Cover.|
TS|UNWAVERING PHALANX|10206007|Rubricae Phalanx  Battle Tactic Stratagem|1.0|Massed in an unyielding wall of sorcerous ceramite, the sheer unnatural resilience of the Thousand Sons can withstand the most vicious assault.|Opponents turn|Charge phase|Rubricae Phalanx|1064.0|WHEN: Your opponents Charge phase, just after an enemy unit ends a Charge move.TARGET: One Rubric Marines unit from your army within Engagement Range of that enemy unit.EFFECT: Until the end of the turn, each time an attack targets your unit, subtract 1 from the Wound roll.|
TS|ARDENT AUTOMATA|10206002|Rubricae Phalanx  Strategic Ploy Stratagem|1.0|The martial discipline once known amongst the Legion's fellowships has been pared back and twisted until it is another means of control, one which the Rubricaes masters use to wrongfoot their foes with sudden changes of tactics.|Your turn|Movement phase|Rubricae Phalanx|1064.0|WHEN: Your Movement phase, just after a Rubricae unit from your army Falls Back.TARGET: That RUBRICAE unit.EFFECT: Until the end of the turn, your unit is eligible to shoot and declare a charge in a turn in which it Fell Back.|
TS|INEXORABLE ADVANCE|10206003|Rubricae Phalanx  Strategic Ploy Stratagem|1.0|The warriors of the Thousand Sons can be driven on relentlessly while laying down a hail of weapons fire. They know no fatigue nor weakness, unable to falter even if they wished to.|Your turn|Movement phase|Rubricae Phalanx|1064.0|WHEN: Your Movement phase.TARGET: One Rubricae unit from your army.EFFECT: Until the end of the turn, your unit can ignore any or all modifiers to its Move characteristic and to Advance rolls made for it, and ranged weapons equipped by models in your unit have the [ASSAULT] ability.|
TS|REVENGE OF THE RUBRICAE|10206005|Rubricae Phalanx  Strategic Ploy Stratagem|1.0|Magnus psychic scions are as vindictive as their Daemon Primarch. Many weave arcane curses and runes of spite into the eldritch armour of their guardians. Should they fall, their Rubricae unleash a vengeful doom upon the executioners.|Opponents turn|Shooting phase|Rubricae Phalanx|1064.0|"WHEN: Your opponents Shooting phase, just after a Thousand Sons Psyker model from your army is destroyed.TARGET: One Rubricae unit from your army that was within 6"" of that PSYKER model when it was destroyed.EFFECT: After the attacking unit has shot, your RUBRICAE unit can shoot as if it were your Shooting phase, but when resolving those attacks it can only target the enemy unit that just destroyed your PSYKER model (and only if it is an eligible target)."|
TS|IMPLACABLE GUARDIANS|10206006|Rubricae Phalanx  Strategic Ploy Stratagem|2.0|The Rubricae are superlative, enduring guardians who can absorb great storms of fire if it means shielding their masters.|Opponents turn|Shooting phase|Rubricae Phalanx|1064.0|WHEN: Your opponents Shooting phase, just after an enemy unit has selected its targets.TARGET: One Rubric Marines Psyker unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, each time an attack is allocated to a model in your unit (excluding PSYKER models), subtract 1 from the Damage characteristic of that attack.|
TS|INFERNAL FUSILLADE|10206004|Rubricae Phalanx  Wargear Stratagem|2.0|Arcane invocations imbue the Thousand Sons weapons with sorcerous power, rendering them still more lethal to the foe.|Your turn|Shooting phase|Rubricae Phalanx|1064.0|WHEN: Your Shooting phase.TARGET: One Thousand Sons Psyker unit from your army that has not been selected to shoot this phase.EFFECT: Until the end of the phase, all inferno bolt pistols, inferno boltguns, inferno combi-bolters and inferno combi-weapons equipped by models in your unit have the [PSYCHIC] ability and a Strength characteristic of 5.|
TS|HEX-MARKED ARMOUR|10210002|Warpforged Cabal  Battle Tactic Stratagem|1.0|Amorphous runes and sigils carved into the armoured flanks of the Cabal's war engines flare with unholy power, leaching the foe's attacks of strength.|Either players turn|Shooting or Fight phase|Warpforged Cabal|1065.0|WHEN: Your opponents Shooting phase or the Fight phase, just after an enemy unit has selected its targets.TARGET: One Thousand Sons Vehicle unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1.|
TS|ENSORCELLED INFUSION|10210006|Warpforged Cabal  Battle Tactic Stratagem|1.0|Utilising the fell powers of the Warp, Thousand Sons Sorcerers infuse vehicles with empyric energies to render them even deadlier.|Your turn|Shooting phase|Warpforged Cabal|1065.0|"WHEN: Your Shooting phase.TARGET: One Thousand Sons Vehicle unit from your army that has not been selected to shoot this phase, that is within 6"" of one or more friendly Thousand Sons Psyker units.EFFECT: Until the end of the phase, ranged weapons equipped by VEHICLE models in your unit have the [PSYCHIC] ability and each time an attack is made with such a weapon, add 1 to the Wound roll."|
TS|MUTATE LANDSCAPE|10210003|Warpforged Cabal  Epic Deed Stratagem|1.0|Where the Warpforged Cabals spread their malignant change, the terrain erupts in uncontrolled mutation or transmogrifies into hazardous forms.|Your turn|Command phase|Warpforged Cabal|1065.0|WHEN: Your Command phase.TARGET: One Thousand Sons Psyker unit from your army within range of an objective marker you control.EFFECT: That objective marker is mutated, and remains under your control until your opponents Level of Control over that objective marker is greater than yours at the end of a phase. While an objective marker is mutated and under your control, each time an enemy unit ends a Normal, Advance, Fall Back or Charge move within range of that objective marker, roll one D6: on a 4+, that enemy unit suffers D3 mortal wounds.|
TS|MALEVOLENT ANIMUS|10210005|Warpforged Cabal  Epic Deed Stratagem|1.0|Whether a corrupted machine spirit or a cackling possessor daemon, the core animus of many Thousand Sons war engines seethe with a malignity that sees them unerringly strike out at prey even when critical systems are compromised.|Your turn|Command phase|Warpforged Cabal|1065.0|"WHEN: Your Command phase.TARGET: One Thousand Sons Vehicle unit from your army within 6"" of one or more friendly Thousand Sons Psyker units.EFFECT: Until the start of your next Command phase, your VEHICLE unit is malevolent. While a unit is malevolent, it can ignore any or all modifiers to the following: the profile characteristics of its models; the Weapon Skill and Ballistic Skill characteristics of weapons equipped by its models; any roll or test made for it (excluding modifiers to saving throws)."|
TS|CYBERSPIRIT MACHINATIONS|10210004|Warpforged Cabal  Strategic Ploy Stratagem|1.0|Technoshamanic rites can briefly possess a vehicle's logic-cores, shackling its mechanisms to a new lore.|Your turn|Movement phase|Warpforged Cabal|1065.0|"WHEN: Your Movement phase, just after a Thousand Sons Vehicle unit from your army Falls Back.TARGET: That VEHICLE unit, and one friendly Thousand Sons Psyker unit within 6"" of that VEHICLE unit.EFFECT: Until the end of the turn, your VEHICLE unit is eligible to shoot and declare a charge in a turn in which it Fell Back."|
TS|WARPFLAME GARGOYLES|10210007|Warpforged Cabal  Wargear Stratagem|1.0|On the hulls of vehicles swollen with the power of Tzeentch, gnashing maws open to spew warpfire over those nearby.|Opponents turn|Charge phase|Warpforged Cabal|1065.0|WHEN: Your opponents Charge phase, just after an enemy unit ends a Charge move.TARGET: One Thousand Sons Vehicle unit from your army within Engagement Range of that enemy unit.EFFECT: Roll six D6: for each 5+, that enemy unit suffers 1 mortal wound. That enemy unit must then take a Battle-shock test.|
TS|GIFT OF CHANGE|10202002|Warpmeld Pact  Epic Deed Stratagem|1.0|For those already saturated by the coursing power of the Warp, even death is no barrier to change.|Either players turn|Any phase|Warpmeld Pact|1063.0|WHEN: Any phase.TARGET: One Thousand Sons Character model from your army (excluding Monsters) that was just destroyed. You can use this Stratagem on that model even though it was just destroyed.EFFECT: At the end of the phase, add one Tzeentch Chaos Spawn unit containing one model to your army, and set it up as close as possible to where your model was destroyed and not within Engagement Range of one or more enemy units.RESTRICTIONS: You can only use this Stratagem once per battle round.|
TS|WARPED VICISSITUDE|10202003|Warpmeld Pact  Strategic Ploy Stratagem|1.0|With a shrieked plea to Tzeentch, mutant flesh can flicker between insubstantial states as if not there.|Either players turn|Shooting or Fight phase|Warpmeld Pact|1063.0|WHEN: Your opponents Shooting phase or the Fight phase, just after an enemy unit has selected its targets.TARGET: One Tzaangors unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, models in your unit have a 4+ invulnerable save.|
TS|DERANGED FEROCITY|10202004|Warpmeld Pact  Strategic Ploy Stratagem|1.0|With insane, bestial ferocity is true change wrought.|Either players turn|Fight phase|Warpmeld Pact|1063.0|"WHEN: Fight phase, just after a Tzeentch Mutant unit from your army is selected to fight.TARGET: That TZEENTCH MUTANT unit.EFFECT: Until the end of the phase, each time a model in your unit makes a Pile-in or Consolidation move, it can move up to 6"" instead of up to 3"", and when determining which models in it are eligible to fight, any models in it that are within 3"" of one or more enemy models are eligible to fight. When resolving those attacks, such models can target one of those enemy units that is within 3"" of them and within Engagement Range of their unit."|
TS|BLESSED TRANSMUTATIONS|10202005|Warpmeld Pact  Strategic Ploy Stratagem|1.0|When Tzeentchian magicks wax strong, spirit and flesh are yoked again and again in service to the Great Sorcerer.|Your turn|Command phase|Warpmeld Pact|1063.0|"WHEN: Your Command phase.TARGET: One Thousand Sons Psyker model from your army, and one friendly Tzaangors unit that is below its Starting Strength and within 12"" of that PSYKER model.EFFECT: Return up to D3+1 destroyed models (excluding Characters) to your TZAANGORS unit."|
TS|TOUCHED BY TZEENTCH|10202006|Warpmeld Pact  Strategic Ploy Stratagem|1.0|The mutagenic vitality flowing through the Thousand Sons' twisted thralls can manifest in flickering bursts of supernatural speed.|Your turn|Movement phase|Warpmeld Pact|1063.0|WHEN: Start of your Movement phase.TARGET: One Tzeentch Mutant unit from your army.EFFECT: Until the end of the turn, your unit is eligible to shoot or declare a charge in a turn in which it Advanced.|
TS|TWISTED MIRAGE|10202007|Warpmeld Pact  Strategic Ploy Stratagem|1.0|The very flesh of a Warpmeld Pact's mutant abominations radiates a reality-twisting aura. They may appear in one place to their foes, but things are not always as they seem.|Your turn|Movement phase|Warpmeld Pact|1063.0|"WHEN: Reinforcements step of your Movement phase.TARGET: One Tzeentch Mutant unit from your army that is arriving from Strategic Reserves this phase.EFFECT: Your unit can be set up anywhere on the battlefield that is more than 6"" horizontally away from all enemy units, or anywhere on the battlefield that is more than 9"" horizontally away from all enemy units if it is a Monster unit. In either case, until the end of the turn, it is not eligible to declare a charge."|
TYR|RAPACIOUS HUNGER|8413007|Assimilation Swarm  Battle Tactic Stratagem|1.0|The hunger of the Tyranids can never be satiated.|Your turn|Fight phase|Assimilation Swarm|771.0|WHEN: Your Fight phase.TARGET: One TYRANIDS unit from your army that just destroyed an enemy unit.EFFECT: Your unit immediately Regenerates (See Feed the Swarm). When doing so, if your unit is a Harvester unit and you choose for one model to regain up to D3 lost wounds, that model regains up to 3 lost wounds instead.|
TYR|BROODGUARD IMPULSE|8413002|Assimilation Swarm  Epic Deed Stratagem|1.0|Should a foe successfully slay one of the swarms assimilation organisms, they only mark themselves as a priority for predation and consumption in turn.|Either players turn|Any phase|Assimilation Swarm|771.0|WHEN: Any phase.TARGET: One Harvester unit from your army that was just destroyed. You can use this Stratagem on that unit even though it was just destroyed.EFFECT: Until the end of the battle, each time a friendly TYRANIDS model makes an attack that targets the enemy unit that just destroyed your HARVESTER unit, add 1 to the Wound roll.|
TYR|ABLATIVE CARAPACE|8413005|Assimilation Swarm  Epic Deed Stratagem|2.0|These organisms have employed consumed minerals to exude an additional hardened protective layer over their chitinous armour.|Either players turn|Shooting or Fight phase|Assimilation Swarm|771.0|WHEN: Your opponents Shooting phase or the Fight phase, just after an enemy unit has selected its targets.TARGET: One Harvester unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, models in your unit have the Feel No Pain 5+ ability. If your unit is within range of an objective marker you control, until the end of the phase models in your unit have the Feel No Pain 4+ ability instead.|
TYR|SECURE BIOMASS|8413006|Assimilation Swarm  Strategic Ploy Stratagem|1.0|When rich sources of biomass are identified the warrior organisms of this swarm will stop at nothing to destroy resistance and claim them.|Either players turn|Fight phase|Assimilation Swarm|771.0|WHEN: Fight phase.TARGET: One TYRANIDS unit from your army that has not been selected to fight this phase.EFFECT: Until the end of the phase, melee weapons equipped by models in your unit have the [LETHAL HITS] ability. If your unit is a Harvester unit, each time a model in that unit makes a melee attack, a successful unmodified Hit roll of 5+ scores a Critical Hit as well.|
TYR|TYRANNOFORMED|8413004|Assimilation Swarm  Strategic Ploy Stratagem|1.0|Swarms of diminutive Tyranid phage organisms carpet even the most vital strategic assets, steadily breaking them down for assimilation.|Either players turn|Command phase|Assimilation Swarm|771.0|WHEN: Command phase.TARGET: One Harvester unit from your army that is within range of an objective marker you control.EFFECT: That objective marker remains under your control, even if you have no models within range of it, until your opponent controls it at the start or end of any turn.|
TYR|RECLAIM BIOMASS|8413003|Assimilation Swarm  Strategic Ploy Stratagem|1.0|Dead Tyranids are consumed and reconstituted by the swarm just as readily as the lifeless carcasses of their prey.|Either players turn|Any phase|Assimilation Swarm|771.0|"WHEN: Any phase, when a TYRANIDS unit from your army is destroyed, before the last model in it is removed from play.TARGET: One Harvester unit from your army that is within 6"" of that destroyed unit.EFFECT: Regenerate one friendly TYRANIDS unit within 6"" of your HARVESTER unit (See Feed the Swarm)."|
TYR|ONRUSHING HORDE|9700005|Biotide  Battle Tactic Stratagem|1.0|Surging toward their victims in a swift mass of screeching maws and lashing talons, the Tyranids are a panic-inducing sight.|Opponents turn|Shooting phase|Biotide|975.0|WHEN: Your opponents Shooting phase, just after an enemy unit has selected its targets.TARGET: One TYRANIDS unit from your army (excluding WINGED TYRANID PRIME units), that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, each time an attack targets your unit, subtract 1 from the Hit roll.|
TYR|SWARM HUNTERS|9700004|Biotide  Battle Tactic Stratagem|1.0|These Termagants act like a single, many-limbed, many-weaponed organism, squirming around one another to level the most firepower possible.|Your turn|Shooting phase|Biotide|975.0|WHEN: Your Shooting phase.TARGET: One TERMAGANTs unit from your army that has not been selected to shoot this phase.EFFECT: Until the end of the phase, models in your unit can ignore other models in their unit for the purposes of determining visibility. In addition, if your unit is within Synapse Range of your army, each time a model in your unit makes an attack, you can re-roll the Hit roll.|
TYR|LIVING AVALANCHE|9700002|Biotide  Strategic Ploy Stratagem|1.0|This hatchway does not so much slide open as burst asunder like a breached dam, warrior organisms spilling forth from it in a heaving mass.|Your turn|Movement phase|Biotide|975.0|"WHEN: Your Movement phase, just after a TYRANIDS unit from your army has opened a Hatchway.TARGET: That TYRANIDS unit.EFFECT: Your unit can make a Swarm move. To do so, your unit can be moved up to 3"", but at least one model from your unit must end that move on the opposite side of that Hatchway from the one it started the phase on. When doing so, those models can be moved within Engagement Range of enemy units."|
TYR|SQUIRMING MASSES|9700003|Biotide  Strategic Ploy Stratagem|1.0|Like water flowing through every available gap and channel, the Tyranids squeeze through ducts and vents to spill out in the midst of the prey.|Your turn|Movement phase|Biotide|975.0|"WHEN: Your Movement phase, at the start of the Reinforcements step.TARGET: One ENDLESS MULTITUDE unit from your army that is in Reserves.EFFECT: Until the end of the phase, models in your unit have the Deep Strike ability and, when setting them upon the battlefield using that ability, they can be set up anywhere on the battlefield that is more than 6"" horizontally away from all enemy units, provided they are also within Synapse Range of your army.RESTRICTIONS: You can only use this Stratagem once and, until the end of the turn, your unit is not eligible to declare a charge."|
TYR|LITHE KILLERS|9691002|Boarding Swarm  Battle Tactic Stratagem|1.0|These warrior organisms employ agility and stealth in place of resilience, weaving around their victims' blows and exploiting the tangled internal structures of the voidship to their advantage.|Either players turn|Fight phase|Boarding Swarm|974.0|WHEN: Fight phase, just after an enemy unit has selected its targets.TARGET: One TYRANIDS unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, models in your unit have a 5+ invulnerable save.|
TYR|PREDATORY POUNCE|9691005|Boarding Swarm  Strategic Ploy Stratagem|1.0|The internal hatchways of prey voidships make excellent ambush sites for vanguard organisms.|Opponents turn|Movement phase|Boarding Swarm|974.0|"WHEN: Your opponents Movement phase, just after an enemy unit opens a Hatchway.TARGET: One TYRANIDS unit from your army that is within 3"" of that Hatchway and is not within Engagement Range of one or more enemy units.EFFECT: Your unit can make a Pounce move. To do so, your unit can be moved up to 3"", but must end that move as close as possible to that Hatchway. When doing so, those models can be moved within Engagement Range of that enemy unit, but only that enemy unit."|
TYR|TALON-TIP SWARM|9691004|Boarding Swarm  Strategic Ploy Stratagem|1.0|As they break the prey's lines, these organisms seek key strategic sites to tear apart.|Either players turn|Fight phase|Boarding Swarm|974.0|"WHEN: Fight phase, just after a TYRANIDS unit from your army destroys an enemy unit.TARGET: That TYRANIDS unit.EFFECT: If your unit is not within Engagement Range of one or more enemy units, it can make a Normal move of up to 3"". After that move, if your unit is within range of an objective marker and no enemy units are within range of that objective marker, that objective marker is Secured by your army."|
TYR|ADRENALISED SLAUGHTER|9691003|Boarding Swarm  Strategic Ploy Stratagem|1.0|These organisms contain additional adrenal biomorphs, which send them into a final killing frenzy just before death.|Either players turn|Fight phase|Boarding Swarm|974.0|WHEN: Fight phase, just after an enemy unit has selected its targets.TARGET: One TYRANIDS unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, each time a model in your unit is destroyed, if that model has not fought this phase, roll one D6. On a 5+, do not remove the destroyed model from play; it can fight after the attacking unit has finished making its attacks, and is then removed from play.|
TYR|SAVAGE ROAR|8422004|Crusher Stampede  Battle Tactic Stratagem|1.0|This monster is even more terrifying to behold than other bioforms of its kind.|Either players turn|Fight phase|Crusher Stampede|769.0|WHEN: Fight phase, just after an enemy unit has selected its targets.TARGET: One Tyranids Monster unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: That enemy unit must take a Battle-shock test and, until the end of the phase, each time a model in that enemy unit makes an attack that targets your unit, subtract 1 from the Hit roll. If that Battle-shock test was failed, subtract 1 from the Wound roll as well.|
TYR|RAMPAGING MONSTROSITIES|8422003|Crusher Stampede  Battle Tactic Stratagem|1.0|Tyranid monsters have reserves of energy that they unleash in waves of devastating fury.|Either players turn|Fight phase|Crusher Stampede|769.0|WHEN: Fight phase.TARGET: One Tyranids Monster unit from your army that has not been selected to fight this phase.EFFECT: Until the end of the phase, each time a model in your unit makes an attack, you can re-roll the Hit roll.|
TYR|SWARM-GUIDED SALVOES|8422006|Crusher Stampede  Battle Tactic Stratagem|1.0|One cannot hide from a gestalt entity with a million eyes, even in the densest cover.|Your turn|Shooting phase|Crusher Stampede|769.0|WHEN: Your Shooting phase.TARGET: One Tyranids Monster unit from your army that has not been selected to shoot this phase.EFFECT: Until the end of the phase, ranged weapons equipped by models in your unit have the [IGNORES COVER] ability, and until the end of the phase each time a model in your unit makes an attack, you can ignore any or all modifiers to that models Ballistic Skill characteristic and any or all modifiers to the Hit roll.|
TYR|MASSIVE IMPACT|8422007|Crusher Stampede  Epic Deed Stratagem|1.0|Employing their sheer bulk and vicious chitinous horns and spikes, the largest Tyranids crash headlong through the foe, often with devastating results.|Your turn|Charge phase|Crusher Stampede|769.0|WHEN: Your Charge phase, just after a Tyranids Monster model from your army ends a Charge move.TARGET: That TYRANIDS MONSTER model.EFFECT: Select one enemy unit within Engagement Range of your model and roll six D6: for each 4+, that enemy unit suffers 1 mortal wound.|
TYR|CORROSIVE VISCERA|8422002|Crusher Stampede  Strategic Ploy Stratagem|1.0|Highly acidic fluids spray from the creatures wounds, lethal to those nearby.|Either players turn|Shooting or Fight phase|Crusher Stampede|769.0|WHEN: Your opponents Shooting phase or the Fight phase, just after a Tyranids Monster model from your army with the Deadly Demise ability that cannot FLY is destroyed.TARGET: That TYRANIDS MONSTER model. You can use this Stratagem on that model even though it was just destroyed.EFFECT: Do not roll one D6 to determine whether mortal wounds are inflicted by your models Deadly Demise ability. Instead, mortal wounds are automatically inflicted.|
TYR|UNTRAMMELLED FEROCITY|8422005|Crusher Stampede  Strategic Ploy Stratagem|1.0|Encircling and entrapping such physically powerful and fearless beasts is nigh on impossible.|Your turn|Movement phase|Crusher Stampede|769.0|"WHEN: Your Movement phase.TARGET: One Tyranids Monster unit from your army that has not been selected to move this phase.EFFECT: Until the end of the phase, each time a model in your unit makes a Normal, Advance or Fall Back move, it can move through models (excluding TITANIC models) and sections of terrain features that are 4"" or less in height. When doing so: It can move within Engagement Range of enemy models, but cannot end that move within Engagement Range of them. It can also move through sections of terrain features that are more than 4"" in height, but if it does, after its unit has moved, roll one D6: on a 1, your unit is Battle-shocked."|
TYR|HYPERADRENAL REFLEXES|9725002|Infestation Swarm  Battle Tactic Stratagem|1.0|Goaded by the biostimulants surging through their bodies, these warrior organisms evade their enemies'attacks with unbelievable swiftness.|Either players turn|Fight phase|Infestation Swarm|979.0|WHEN: Fight phase, just after an enemy unit has selected its targets.TARGET: One GREAT DEVOURER unit from your army that was selected as the target of one or more of the attacking units attacks.EFFECT: Until the end of the phase, models in your unit have a 4+ invulnerable save.|
TYR|HUNTING GROUNDS|9725004|Infestation Swarm  Strategic Ploy Stratagem|1.0|Genestealers on the hunt are relentless, squirming through hatches before they have even half opened.|Your turn|Movement phase|Infestation Swarm|979.0|"WHEN: Your Movement phase, just after a GREAT DEVOURER unit from your army opens a Hatchway.TARGET: That GREAT DEVOURER unit.EFFECT: Your unit can make a Normal move of up to 3"", provided at least one of its models ends that move on the opposite side of that Hatchway from when your unit opened it."|
TYR|PERVASIVE DREAD|9725003|Infestation Swarm  Strategic Ploy Stratagem|1.0|With the death of their leader, the surviving prey feel an ominous sense of doom press down upon them, heightened by subtle psionic assault.|Either players turn|Fight phase|Infestation Swarm|979.0|WHEN: Fight phase, just after the enemy WARLORD is destroyed (and is not returned to the battlefield) by a GREAT DEVOURER unit from your army.TARGET: That GREAT DEVOURER unit.EFFECT: In your opponents next Command phase, each enemy unit on the battlefield must take a Battle-shock test, subtracting 1 from the result. This Stratagem cannot cause a unit to take two Battle-shock tests in the same phase.|
TYR|OUTFLANK|9725005|Infestation Swarm  Strategic Ploy Stratagem|1.0|Swarms of Genestealers crawl through vents and ducts as they seek to outflank their prey.|Opponents turn|Fight phase|Infestation Swarm|979.0|WHEN: End of your opponents Fight phase.TARGET: One GENESTEALERs or PURESTRAIN GENESTEALERS unit from your army that is wholly within an Entry Zone.EFFECT: Remove your unit from the battlefield and place it into Strategic Reserves. It will arrive back on the battlefield in the Reinforcements step of your next Movement phase. When doing so, if it was within one of your Entry Zones when it was removed, it must be set up wholly within another one of your Entry Zones. If it was within one of your opponents Entry Zones when it was removed, it must be set up wholly within another one of your opponents Entry Zones instead. If this is not possible, your unit is destroyed.|
TYR|ADRENAL SURGE|8349003|Invasion Fleet  Battle Tactic Stratagem|2.0|These warrior organisms destroy all as their adrenaline surges.|Either players turn|Fight phase|Invasion Fleet|748.0|WHEN: Fight phase.TARGET: Up to two TYRANIDS units from your army that are within Synapse Range of your army and are eligible to fight, or one other TYRANIDS unit from your army that is eligible to fight.EFFECT: Until the end of the phase, each time a model in any of those selected units makes an attack, an unmodified Hit roll of 5+ scores a Critical Hit.|
